User_ID,Year,Country,Gender,Age_Group,Urban_Rural,Phone_Type,Fintech_Used,Use_Case_1,Use_Case_2,Monthly_Transactions,Avg_Transaction_Value,Barrier
U20,2016,Tanzania,Female,35-44,Urban,Smartphone,Yes,Bill Payments,Airtime Top-up,5,20.26,None
U21,2017,Nigeria,Female,45-54,Rural,Feature Phone,Yes,Bill Payments,,9,25.18,None
U22,2023,South Africa,Female,18-24,Urban,Feature Phone,Yes,Bill Payments,,6,49.05,None
U23,2017,Uganda,Female,25-34,Urban,Feature Phone,Yes,Bill Payments,,3,34.05,None
U24,2015,South Africa,Female,55+,Rural,Smartphone,No,Online Shopping,P2P Transfers,0,0.0,No Smartphone
U25,2015,Uganda,Other,55+,Rural,Smartphone,No,Airtime Top-up,,0,0.0,Poor Network
U26,2015,Nigeria,Male,25-34,Rural,Feature Phone,Yes,Online Shopping,P2P Transfers,4,19.51,None
U27,2022,Zimbabwe,Male,35-44,Urban,Smartphone,No,P2P Transfers,Business Use,0,0.0,Low Digital Literacy
U28,2023,Ghana,Male,18-24,Rural,Smartphone,No,Business Use,Bill Payments,0,0.0,No Smartphone
U29,2017,Tanzania,Male,25-34,Urban,Feature Phone,No,Bill Payments,Airtime Top-up,0,0.0,Poor Network
U30,2020,Kenya,Female,25-34,Urban,Smartphone,Yes,Business Use,,4,7.33,None
U31,2018,Uganda,Female,35-44,Rural,None,No,Bill Payments,Airtime Top-up,0,0.0,None
U32,2017,Zimbabwe,Male,25-34,Rural,Smartphone,No,P2P Transfers,Business Use,0,0.0,No ID
U33,2021,Tanzania,Female,25-34,Urban,Smartphone,No,Business Use,P2P Transfers,0,0.0,No Trust
U34,2020,Zimbabwe,Female,25-34,Rural,Feature Phone,Yes,Online Shopping,Bill Payments,3,10.41,None
U35,2019,Tanzania,Male,45-54,Rural,Smartphone,No,P2P Transfers,Bill Payments,0,0.0,No Smartphone
U36,2019,Tanzania,Male,25-34,Rural,Smartphone,Yes,Bill Payments,Airtime Top-up,3,43.54,None
U37,2019,Ghana,Male,18-24,Rural,Smartphone,Yes,Bill Payments,,9,17.33,None
U38,2016,Ghana,Male,35-44,Urban,Smartphone,Yes,Business Use,Bill Payments,6,23.81,None
U39,2023,South Africa,Male,35-44,Rural,None,No,Business Use,Bill Payments,0,0.0,Low Digital Literacy
U40,2015,Tanzania,Female,45-54,Urban,Smartphone,Yes,Bill Payments,,7,5.49,None
U41,2023,Nigeria,Male,25-34,Rural,None,No,Bill Payments,,0,0.0,None
U42,2019,Ghana,Male,25-34,Rural,Feature Phone,Yes,Bill Payments,,4,38.17,None
U43,2025,Nigeria,Male,18-24,Rural,Feature Phone,No,Airtime Top-up,,0,0.0,No ID
U44,2022,Kenya,Male,45-54,Urban,Smartphone,No,Bill Payments,Online Shopping,0,0.0,No Trust
U45,2015,Uganda,Female,45-54,Rural,Feature Phone,No,Airtime Top-up,,0,0.0,Poor Network
U46,2017,Ghana,Male,35-44,Urban,Smartphone,No,Bill Payments,,0,0.0,Low Digital Literacy
U47,2016,South Africa,Female,35-44,Rural,Feature Phone,Yes,Business Use,,7,48.64,None
U48,2019,Uganda,Female,45-54,Urban,Feature Phone,No,P2P Transfers,,0,0.0,No Smartphone
U49,2023,Zimbabwe,Female,25-34,Rural,Smartphone,Yes,P2P Transfers,,4,20.1,None
U50,2024,South Africa,Female,25-34,Urban,Smartphone,No,Airtime Top-up,Online Shopping,0,0.0,Poor Network
U51,2025,Uganda,Male,25-34,Urban,Feature Phone,No,Bill Payments,,0,0.0,No Trust
U52,2017,Ghana,Female,25-34,Urban,Feature Phone,No,P2P Transfers,Bill Payments,0,0.0,No Smartphone
U53,2016,Nigeria,Male,18-24,Urban,Feature Phone,Yes,P2P Transfers,,5,6.66,None
U54,2015,Ghana,Male,45-54,Rural,None,No,Bill Payments,,0,0.0,None
U55,2021,Ghana,Female,35-44,Urban,Smartphone,No,Business Use,,0,0.0,No Trust
U56,2017,Ghana,Female,18-24,Rural,Feature Phone,No,Airtime Top-up,Online Shopping,0,0.0,Poor Network
U57,2021,Kenya,Female,25-34,Rural,Smartphone,Yes,Airtime Top-up,P2P Transfers,4,38.98,None
U58,2019,Uganda,Female,18-24,Urban,Smartphone,No,Online Shopping,Business Use,0,0.0,Poor Network
U59,2016,Uganda,Female,18-24,Rural,Smartphone,No,P2P Transfers,,0,0.0,Low Digital Literacy
U60,2021,Kenya,Female,45-54,Urban,Feature Phone,No,Online Shopping,P2P Transfers,0,0.0,Low Digital Literacy
U61,2018,Ghana,Other,25-34,Urban,Feature Phone,No,P2P Transfers,,0,0.0,No Trust
U62,2023,Tanzania,Male,18-24,Urban,Feature Phone,No,Bill Payments,Online Shopping,0,0.0,No ID
U63,2023,Nigeria,Female,25-34,Rural,Feature Phone,No,Business Use,,0,0.0,No Trust
U64,2019,Kenya,Male,18-24,Urban,Smartphone,No,Online Shopping,Business Use,0,0.0,Low Digital Literacy
U65,2016,Zimbabwe,Female,35-44,Urban,Feature Phone,Yes,Online Shopping,,3,44.07,None
U66,2022,Zimbabwe,Female,55+,Urban,Feature Phone,No,Business Use,P2P Transfers,0,0.0,No Trust
U67,2021,Uganda,Male,35-44,Urban,Smartphone,Yes,P2P Transfers,,4,22.87,None
U68,2023,Tanzania,Male,18-24,Urban,Smartphone,No,Online Shopping,Business Use,0,0.0,Poor Network
U69,2023,Zimbabwe,Male,25-34,Urban,Feature Phone,No,Online Shopping,Business Use,0,0.0,Low Digital Literacy
U70,2020,Kenya,Female,25-34,Urban,Smartphone,No,P2P Transfers,Business Use,0,0.0,Poor Network
U71,2024,Kenya,Male,25-34,Urban,Feature Phone,No,Airtime Top-up,,0,0.0,No Smartphone
U72,2020,Uganda,Male,18-24,Urban,Smartphone,No,Airtime Top-up,,0,0.0,No ID
U73,2023,Tanzania,Male,18-24,Rural,None,No,Online Shopping,Business Use,0,0.0,None
U74,2025,South Africa,Male,55+,Urban,Feature Phone,Yes,Online Shopping,Airtime Top-up,5,24.14,None
U75,2015,South Africa,Male,18-24,Rural,Smartphone,Yes,Bill Payments,,7,35.81,None
U76,2018,Zimbabwe,Male,18-24,Urban,Smartphone,Yes,Online Shopping,,7,7.99,None
U77,2022,Uganda,Male,35-44,Rural,Feature Phone,Yes,Online Shopping,,6,41.75,None
U78,2021,Uganda,Female,35-44,Urban,Smartphone,Yes,Bill Payments,,8,11.27,None
U79,2015,South Africa,Female,25-34,Rural,Feature Phone,Yes,Airtime Top-up,,5,41.96,None
U80,2018,Ghana,Male,25-34,Rural,Smartphone,No,Business Use,Online Shopping,0,0.0,No Trust
U81,2016,Nigeria,Female,35-44,Urban,Smartphone,No,P2P Transfers,,0,0.0,Poor Network
U82,2024,Uganda,Male,25-34,Urban,Feature Phone,Yes,Bill Payments,Online Shopping,2,44.25,None
U83,2018,South Africa,Female,18-24,Rural,Feature Phone,No,Online Shopping,,0,0.0,Poor Network
U84,2020,Nigeria,Female,45-54,Rural,Smartphone,No,Online Shopping,,0,0.0,No ID
U85,2024,Uganda,Male,45-54,Urban,Smartphone,No,Airtime Top-up,,0,0.0,No Trust
U86,2019,Tanzania,Male,25-34,Rural,Smartphone,No,Bill Payments,,0,0.0,Poor Network
U87,2018,Zimbabwe,Female,45-54,Urban,Smartphone,Yes,Bill Payments,Business Use,3,27.43,None
U88,2020,Ghana,Female,25-34,Urban,Feature Phone,No,P2P Transfers,,0,0.0,No Smartphone
U89,2015,Tanzania,Other,25-34,Urban,Feature Phone,Yes,Business Use,Online Shopping,4,45.41,None
U90,2015,Ghana,Male,45-54,Urban,Smartphone,Yes,Airtime Top-up,Business Use,5,43.78,None
U91,2021,Nigeria,Male,25-34,Rural,Smartphone,No,Airtime Top-up,Online Shopping,0,0.0,No Smartphone
U92,2016,Tanzania,Female,18-24,Urban,Smartphone,Yes,Airtime Top-up,,12,23.29,None
U93,2021,Kenya,Male,18-24,Urban,Smartphone,No,Bill Payments,P2P Transfers,0,0.0,No ID
U94,2016,Kenya,Female,35-44,Urban,Feature Phone,No,Online Shopping,,0,0.0,Poor Network
U95,2018,Ghana,Male,35-44,Urban,Feature Phone,No,P2P Transfers,Bill Payments,0,0.0,No Trust
U96,2020,South Africa,Male,45-54,Urban,Feature Phone,Yes,Airtime Top-up,,7,10.95,None
U97,2016,Tanzania,Female,45-54,Urban,Feature Phone,No,Bill Payments,P2P Transfers,0,0.0,Low Digital Literacy
U98,2015,Ghana,Female,45-54,Urban,Smartphone,No,P2P Transfers,,0,0.0,No ID
U99,2020,Nigeria,Female,35-44,Rural,Smartphone,Yes,Business Use,Airtime Top-up,6,39.69,None
U100,2019,Nigeria,Male,25-34,Rural,Smartphone,Yes,P2P Transfers,Airtime Top-up,4,29.29,None
U101,2017,Nigeria,Female,45-54,Rural,Smartphone,Yes,Online Shopping,Bill Payments,2,27.3,None
U102,2025,Kenya,Male,18-24,Urban,Smartphone,Yes,Bill Payments,Airtime Top-up,4,47.76,None
U103,2021,Zimbabwe,Male,25-34,Rural,Feature Phone,Yes,Business Use,,7,6.99,None
U104,2021,Zimbabwe,Male,25-34,Rural,Smartphone,Yes,P2P Transfers,,4,7.47,None
U105,2017,Kenya,Female,35-44,Rural,Smartphone,Yes,Business Use,,4,19.19,None
U106,2015,South Africa,Female,25-34,Rural,Feature Phone,Yes,Airtime Top-up,P2P Transfers,3,13.35,None
U107,2016,Nigeria,Male,18-24,Urban,Smartphone,No,Business Use,Online Shopping,0,0.0,No Smartphone
U108,2023,South Africa,Other,35-44,Urban,Smartphone,Yes,Airtime Top-up,P2P Transfers,0,26.03,None
U109,2022,Uganda,Female,35-44,Urban,Smartphone,Yes,Bill Payments,,6,23.79,None
U110,2022,Tanzania,Female,25-34,Rural,Smartphone,Yes,P2P Transfers,,5,22.28,None
U111,2023,Zimbabwe,Female,45-54,Rural,Feature Phone,No,P2P Transfers,,0,0.0,No Trust
U112,2017,South Africa,Other,18-24,Urban,Feature Phone,Yes,Airtime Top-up,Business Use,5,43.71,None
U113,2025,Zimbabwe,Male,25-34,Urban,Smartphone,Yes,P2P Transfers,Online Shopping,5,16.69,None
U114,2019,Kenya,Female,55+,Urban,Feature Phone,Yes,Airtime Top-up,Bill Payments,7,44.54,None
U115,2017,South Africa,Female,45-54,Rural,Feature Phone,Yes,Business Use,P2P Transfers,5,44.56,None
U116,2024,Kenya,Female,18-24,Rural,Smartphone,Yes,Bill Payments,,1,17.92,None
U117,2025,Zimbabwe,Female,18-24,Urban,Smartphone,Yes,Online Shopping,Bill Payments,7,47.18,None
U118,2018,Kenya,Female,18-24,Rural,Feature Phone,No,Bill Payments,Business Use,0,0.0,Low Digital Literacy
U119,2024,Nigeria,Female,55+,Rural,Smartphone,Yes,Airtime Top-up,Business Use,2,19.56,None
U120,2017,Nigeria,Female,25-34,Urban,None,No,Bill Payments,,0,0.0,Low Digital Literacy
U121,2023,Tanzania,Female,45-54,Urban,Feature Phone,Yes,Online Shopping,Business Use,6,33.73,None
U122,2020,Nigeria,Male,55+,Urban,Feature Phone,No,Airtime Top-up,,0,0.0,No Trust
U123,2017,Zimbabwe,Female,25-34,Rural,Smartphone,Yes,Online Shopping,Bill Payments,2,25.42,None
U124,2016,South Africa,Male,35-44,Urban,Feature Phone,Yes,Business Use,Bill Payments,3,35.85,None
U125,2018,Zimbabwe,Male,25-34,Urban,Smartphone,No,P2P Transfers,Business Use,0,0.0,No Trust
U126,2022,Nigeria,Other,18-24,Urban,Feature Phone,No,Airtime Top-up,,0,0.0,Poor Network
U127,2020,Nigeria,Female,45-54,Rural,Smartphone,No,Business Use,Airtime Top-up,0,0.0,Low Digital Literacy
U128,2023,Zimbabwe,Male,25-34,Urban,Smartphone,No,P2P Transfers,,0,0.0,No Trust
U129,2024,Kenya,Male,25-34,Urban,Smartphone,No,Online Shopping,Business Use,0,0.0,No Smartphone
U130,2024,Uganda,Male,55+,Urban,Feature Phone,Yes,Online Shopping,Bill Payments,4,47.13,None
U131,2021,Tanzania,Female,35-44,Rural,Feature Phone,Yes,Business Use,P2P Transfers,7,12.38,None
U132,2025,Kenya,Male,18-24,Urban,Feature Phone,No,Online Shopping,,0,0.0,No Trust
U133,2018,Ghana,Male,35-44,Rural,Smartphone,Yes,Online Shopping,P2P Transfers,4,23.15,None
U134,2020,Tanzania,Male,45-54,Urban,None,No,Business Use,Airtime Top-up,0,0.0,Low Digital Literacy
U135,2018,Ghana,Male,25-34,Rural,Smartphone,Yes,Business Use,Bill Payments,3,31.9,None
U136,2018,Uganda,Female,55+,Urban,Smartphone,No,Airtime Top-up,Bill Payments,0,0.0,Poor Network
U137,2022,Ghana,Female,18-24,Rural,Feature Phone,No,P2P Transfers,Airtime Top-up,0,0.0,No ID
U138,2016,Tanzania,Male,18-24,Urban,Smartphone,No,Airtime Top-up,Online Shopping,0,0.0,Low Digital Literacy
U139,2022,Tanzania,Male,25-34,Urban,Smartphone,Yes,Business Use,Airtime Top-up,2,31.94,None
U140,2018,Ghana,Male,18-24,Rural,Smartphone,No,Bill Payments,,0,0.0,Poor Network
U141,2024,South Africa,Female,25-34,Urban,Feature Phone,Yes,Business Use,Airtime Top-up,7,43.89,None
U142,2020,South Africa,Female,18-24,Rural,Smartphone,No,P2P Transfers,Online Shopping,0,0.0,No Trust
U143,2015,Tanzania,Male,18-24,Urban,Smartphone,Yes,Online Shopping,Bill Payments,3,47.83,None
U144,2016,Ghana,Female,25-34,Urban,Smartphone,Yes,P2P Transfers,Online Shopping,2,47.29,None
U145,2021,Kenya,Male,35-44,Urban,Smartphone,Yes,Airtime Top-up,,8,46.89,None
U146,2018,Zimbabwe,Female,45-54,Rural,Feature Phone,Yes,Bill Payments,Business Use,7,38.23,None
U147,2018,Kenya,Male,25-34,Rural,Feature Phone,Yes,P2P Transfers,,5,33.36,None
U148,2024,Tanzania,Female,25-34,Urban,Smartphone,Yes,P2P Transfers,,3,32.88,None
U149,2023,Nigeria,Female,55+,Rural,Feature Phone,Yes,Airtime Top-up,,9,13.81,None
U150,2021,Tanzania,Male,55+,Rural,Smartphone,No,P2P Transfers,,0,0.0,No ID
U151,2020,Nigeria,Male,25-34,Urban,Smartphone,No,Bill Payments,,0,0.0,Poor Network
U152,2017,Kenya,Female,35-44,Urban,Smartphone,No,P2P Transfers,,0,0.0,No ID
U153,2021,Tanzania,Female,35-44,Urban,Smartphone,Yes,P2P Transfers,,5,33.49,None
U154,2025,Ghana,Female,45-54,Rural,Smartphone,No,Bill Payments,P2P Transfers,0,0.0,No Trust
U155,2022,Kenya,Male,45-54,Rural,Smartphone,No,P2P Transfers,Online Shopping,0,0.0,No Trust
U156,2016,Nigeria,Female,35-44,Rural,Feature Phone,No,Business Use,,0,0.0,No ID
U157,2016,Ghana,Male,35-44,Rural,Smartphone,No,Bill Payments,P2P Transfers,0,0.0,No Smartphone
U158,2019,Tanzania,Male,18-24,Rural,Smartphone,Yes,Bill Payments,,6,36.16,None
U159,2021,South Africa,Female,35-44,Urban,Feature Phone,Yes,P2P Transfers,Online Shopping,3,15.2,None
U160,2023,Tanzania,Male,25-34,Urban,Feature Phone,No,Business Use,,0,0.0,No Trust
U161,2022,Uganda,Female,35-44,Urban,Smartphone,No,Bill Payments,P2P Transfers,0,0.0,No ID
U162,2021,South Africa,Female,25-34,Rural,Smartphone,No,P2P Transfers,Business Use,0,0.0,No Smartphone
U163,2024,South Africa,Other,35-44,Rural,Smartphone,No,Business Use,Bill Payments,0,0.0,Low Digital Literacy
U164,2023,Tanzania,Female,25-34,Rural,Feature Phone,Yes,Online Shopping,,2,38.17,None
U165,2022,South Africa,Male,35-44,Urban,Smartphone,Yes,Bill Payments,Airtime Top-up,4,18.64,None
U166,2016,Ghana,Male,18-24,Rural,Smartphone,No,P2P Transfers,Airtime Top-up,0,0.0,Poor Network
U167,2021,Kenya,Female,25-34,Rural,Smartphone,Yes,P2P Transfers,,8,14.54,None
U168,2023,Tanzania,Male,18-24,Rural,Smartphone,Yes,Airtime Top-up,P2P Transfers,6,42.32,None
U169,2018,Nigeria,Female,45-54,Rural,Smartphone,No,Airtime Top-up,Bill Payments,0,0.0,Low Digital Literacy
U170,2023,Tanzania,Other,25-34,Rural,Smartphone,No,Online Shopping,Bill Payments,0,0.0,Poor Network
U171,2018,Kenya,Male,45-54,Urban,Smartphone,Yes,Airtime Top-up,,3,7.62,None
U172,2025,Kenya,Male,35-44,Rural,Smartphone,No,Airtime Top-up,,0,0.0,No ID
U173,2017,Tanzania,Female,18-24,Urban,None,No,P2P Transfers,,0,0.0,None
U174,2018,Ghana,Female,25-34,Urban,Smartphone,Yes,P2P Transfers,Online Shopping,5,48.37,None
U175,2021,Kenya,Male,25-34,Rural,Smartphone,Yes,Business Use,Online Shopping,2,15.85,None
U176,2019,Ghana,Female,55+,Urban,Smartphone,Yes,Airtime Top-up,,3,43.91,None
U177,2016,Nigeria,Male,25-34,Urban,Feature Phone,Yes,P2P Transfers,,4,17.57,None
U178,2016,Kenya,Male,35-44,Rural,Smartphone,No,Business Use,P2P Transfers,0,0.0,Poor Network
U179,2022,Zimbabwe,Female,18-24,Urban,Smartphone,Yes,Online Shopping,,2,38.58,None
U180,2015,Ghana,Female,18-24,Urban,Smartphone,No,Bill Payments,,0,0.0,Poor Network
U181,2018,Nigeria,Other,45-54,Rural,Smartphone,No,Airtime Top-up,,0,0.0,Low Digital Literacy
U182,2020,Kenya,Male,18-24,Rural,Smartphone,Yes,Bill Payments,,3,16.73,None
U183,2023,Zimbabwe,Female,25-34,Rural,Smartphone,No,P2P Transfers,,0,0.0,No ID
U184,2022,Kenya,Female,25-34,Rural,Feature Phone,Yes,Business Use,,1,31.93,None
U185,2023,Zimbabwe,Male,25-34,Urban,Smartphone,No,Business Use,Online Shopping,0,0.0,No Trust
U186,2019,South Africa,Male,45-54,Rural,Smartphone,Yes,Bill Payments,,8,7.42,None
U187,2020,Uganda,Other,45-54,Urban,Smartphone,No,Business Use,,0,0.0,No ID
U188,2018,Nigeria,Other,25-34,Urban,Smartphone,No,Online Shopping,,0,0.0,Low Digital Literacy
U189,2015,Nigeria,Male,25-34,Rural,Feature Phone,Yes,Airtime Top-up,P2P Transfers,6,13.73,None
U190,2024,Kenya,Male,25-34,Rural,Feature Phone,No,Online Shopping,,0,0.0,No ID
U191,2023,South Africa,Female,45-54,Rural,Feature Phone,No,P2P Transfers,,0,0.0,No Smartphone
U192,2016,Ghana,Male,25-34,Urban,Smartphone,Yes,Business Use,,4,11.2,None
U193,2020,Ghana,Male,18-24,Urban,Smartphone,No,Business Use,,0,0.0,No ID
U194,2018,Zimbabwe,Female,25-34,Rural,Smartphone,Yes,Business Use,,4,6.03,None
U195,2017,Zimbabwe,Female,18-24,Rural,Feature Phone,Yes,P2P Transfers,,5,8.99,None
U196,2018,Zimbabwe,Female,35-44,Rural,Feature Phone,Yes,Bill Payments,,8,30.45,None
U197,2024,Kenya,Male,35-44,Urban,Smartphone,Yes,Online Shopping,,6,41.12,None
U198,2024,Ghana,Female,35-44,Urban,Feature Phone,Yes,Online Shopping,Bill Payments,5,34.56,None
U199,2018,Ghana,Male,18-24,Urban,Smartphone,No,Business Use,Online Shopping,0,0.0,No Trust
U200,2022,Kenya,Male,35-44,Urban,Feature Phone,No,Airtime Top-up,,0,0.0,No Smartphone
U201,2018,Nigeria,Male,45-54,Urban,Smartphone,No,Online Shopping,,0,0.0,Low Digital Literacy
U202,2020,Tanzania,Male,35-44,Urban,Smartphone,Yes,Bill Payments,,2,37.89,None
U203,2024,Ghana,Male,35-44,Urban,Smartphone,No,Business Use,,0,0.0,Low Digital Literacy
U204,2019,South Africa,Male,18-24,Urban,Smartphone,No,Online Shopping,,0,0.0,No Trust
U205,2020,Tanzania,Female,55+,Urban,Smartphone,Yes,Business Use,,5,47.56,None
U206,2023,Kenya,Male,45-54,Urban,Feature Phone,No,Airtime Top-up,,0,0.0,No Trust
U207,2022,Uganda,Female,25-34,Urban,Feature Phone,No,Online Shopping,,0,0.0,No Trust
U208,2019,South Africa,Female,35-44,Rural,Smartphone,No,Airtime Top-up,,0,0.0,No ID
U209,2020,South Africa,Female,18-24,Urban,None,No,Airtime Top-up,,0,0.0,None
U210,2016,Zimbabwe,Male,25-34,Urban,Smartphone,Yes,Airtime Top-up,,7,40.68,None
U211,2018,Ghana,Female,35-44,Urban,Feature Phone,Yes,Business Use,Bill Payments,6,27.82,None
U212,2015,Tanzania,Male,45-54,Rural,Smartphone,No,Business Use,Bill Payments,0,0.0,Low Digital Literacy
U213,2020,Nigeria,Female,45-54,Urban,None,No,Business Use,,0,0.0,Low Digital Literacy
U214,2019,Ghana,Female,25-34,Rural,None,No,P2P Transfers,Business Use,0,0.0,None
U215,2025,Ghana,Female,25-34,Rural,Feature Phone,No,Business Use,,0,0.0,No Smartphone
U216,2017,Ghana,Male,25-34,Rural,Smartphone,Yes,Online Shopping,,7,37.04,None
U217,2022,Kenya,Male,18-24,Urban,Smartphone,No,Business Use,P2P Transfers,0,0.0,Low Digital Literacy
U218,2025,Zimbabwe,Male,25-34,Rural,Feature Phone,Yes,Online Shopping,,5,12.87,None
U219,2023,South Africa,Male,45-54,Urban,Feature Phone,Yes,Bill Payments,,2,39.34,None
U220,2019,Uganda,Female,45-54,Urban,Feature Phone,No,Business Use,,0,0.0,No Smartphone
U221,2016,Nigeria,Female,35-44,Urban,Smartphone,No,Business Use,Airtime Top-up,0,0.0,Low Digital Literacy
U222,2018,Ghana,Female,25-34,Rural,Smartphone,No,P2P Transfers,,0,0.0,Low Digital Literacy
U223,2022,Uganda,Female,25-34,Rural,Smartphone,Yes,Business Use,Airtime Top-up,9,10.41,None
U224,2018,Zimbabwe,Male,18-24,Urban,Smartphone,Yes,Bill Payments,,3,44.48,None
U225,2016,Zimbabwe,Male,25-34,Rural,Feature Phone,Yes,Bill Payments,Airtime Top-up,6,42.41,None
U226,2017,South Africa,Male,18-24,Rural,Feature Phone,Yes,Airtime Top-up,Online Shopping,3,45.98,None
U227,2023,Nigeria,Female,25-34,Rural,Feature Phone,Yes,Online Shopping,,6,17.22,None
U228,2025,Tanzania,Other,25-34,Urban,Feature Phone,No,Airtime Top-up,,0,0.0,No Smartphone
U229,2020,Kenya,Female,18-24,Urban,Smartphone,No,Bill Payments,,0,0.0,Low Digital Literacy
U230,2022,Uganda,Female,25-34,Urban,Smartphone,No,Airtime Top-up,Bill Payments,0,0.0,No Smartphone
U231,2015,Uganda,Female,45-54,Urban,Smartphone,No,Business Use,Bill Payments,0,0.0,Low Digital Literacy
U232,2024,Nigeria,Male,25-34,Rural,Smartphone,Yes,Airtime Top-up,,7,22.76,None
U233,2017,South Africa,Female,35-44,Urban,Feature Phone,No,P2P Transfers,Airtime Top-up,0,0.0,No Trust
U234,2021,South Africa,Female,18-24,Rural,Smartphone,No,Bill Payments,,0,0.0,No Trust
U235,2015,Tanzania,Female,25-34,Rural,Feature Phone,Yes,P2P Transfers,,3,8.61,None
U236,2023,Tanzania,Male,35-44,Rural,Feature Phone,Yes,Airtime Top-up,Business Use,7,29.03,None
U237,2022,Kenya,Male,25-34,Urban,Smartphone,Yes,P2P Transfers,Bill Payments,5,22.43,None
U238,2025,Kenya,Male,18-24,Urban,Feature Phone,Yes,Business Use,Bill Payments,9,35.98,None
U239,2021,Kenya,Male,25-34,Urban,Feature Phone,No,Airtime Top-up,Online Shopping,0,0.0,Poor Network
U240,2017,Ghana,Female,25-34,Urban,Smartphone,Yes,Bill Payments,,6,35.97,None
U241,2016,Ghana,Male,55+,Urban,Smartphone,No,Bill Payments,Business Use,0,0.0,No Smartphone
U242,2020,Nigeria,Male,18-24,Urban,Feature Phone,No,Bill Payments,Airtime Top-up,0,0.0,Low Digital Literacy
U243,2024,Ghana,Female,25-34,Urban,Smartphone,No,P2P Transfers,Airtime Top-up,0,0.0,Low Digital Literacy
U244,2023,Zimbabwe,Male,35-44,Urban,Smartphone,Yes,Bill Payments,Online Shopping,7,16.67,None
U245,2017,Kenya,Male,25-34,Urban,None,No,P2P Transfers,,0,0.0,None
U246,2015,South Africa,Female,55+,Urban,Feature Phone,No,P2P Transfers,,0,0.0,No Trust
U247,2015,Nigeria,Female,35-44,Urban,Feature Phone,No,P2P Transfers,,0,0.0,No Trust
U248,2022,South Africa,Female,35-44,Rural,Smartphone,Yes,Online Shopping,P2P Transfers,5,40.74,None
U249,2018,Zimbabwe,Female,45-54,Urban,Smartphone,Yes,Business Use,P2P Transfers,7,46.34,None
U250,2017,Kenya,Female,45-54,Urban,Smartphone,Yes,P2P Transfers,,5,43.11,None
U251,2022,Nigeria,Male,25-34,Urban,None,No,Business Use,,0,0.0,No Trust
U252,2016,Uganda,Female,35-44,Rural,Smartphone,No,P2P Transfers,Airtime Top-up,0,0.0,No Trust
U253,2016,Zimbabwe,Male,18-24,Rural,Smartphone,Yes,Bill Payments,Airtime Top-up,2,6.99,None
U254,2018,Zimbabwe,Female,18-24,Urban,Feature Phone,Yes,Business Use,,5,23.34,None
U255,2020,Nigeria,Male,18-24,Rural,Feature Phone,No,Online Shopping,,0,0.0,No Smartphone
U256,2017,Nigeria,Female,35-44,Urban,Feature Phone,No,Bill Payments,Business Use,0,0.0,No Trust
U257,2016,Kenya,Female,35-44,Urban,Feature Phone,No,Bill Payments,,0,0.0,Low Digital Literacy
U258,2022,Uganda,Male,18-24,Urban,Feature Phone,Yes,Business Use,P2P Transfers,7,31.36,None
U259,2022,Uganda,Male,35-44,Urban,Feature Phone,Yes,Business Use,P2P Transfers,5,12.14,None
U260,2016,Kenya,Female,35-44,Urban,Smartphone,No,Online Shopping,,0,0.0,No ID
